text,category,priority,sentiment
"Hello, college me general complaint, since yesterday. Thanks.",Other,Medium,Neutral
"Complaint: someone blocked my vehicle at faculty parking, please look into it. Frustrated with this.",Parking,Medium,Negative
"Hello, accounts office me certificate not issued, few hours. Awaiting your response.",Administrative,Medium,Neutral
"Sir, bullying in class. Location: hostel corridor. for 2 days. Frustrated with this.",Harassment,High,Negative
garbage not collected. Location: main road. kabhi kabhi hota hai. Bahut buri service hai.,Garbage,Low,Negative
"Hello, main road me waste dumped near hostel, please look into it. Bahut buri service hai.",Garbage,Medium,Negative
"Hello, bus did not come today at campus gate, kindly resolve. Frustrated with this.",Transport,Medium,Negative
"Dear admin, current fluctuation is damaging appliances. Location: Room 101. for 2 days. Ye kya ho raha hai.",Electricity,High,Negative
"To whom it may concern, notice board me syllabus not covered before exam, few hours. Frustrated with this.",Academic Issue,Medium,Negative
"Dear admin, There is a problem: water supply cut off in the Hostel Block C. since last week. Appreciate quick action.",Water Supply,High,Positive
"To whom it may concern, wallet stolen from library. Location: library. please look into it. Very disappointed.",Security/Safety,Medium,Negative
"To whom it may concern, cannot connect to campus network. Location: computer lab. today morning. Frustrated with this.",Internet/Wifi,Medium,Negative
"Sir, hostel room 202 me bed sheet not changed, no response yet. Otherwise things are good, just fix this.",Hostel Room,High,Positive
"Hello, certificate not issued at accounts office, kabhi kabhi hota hai. Awaiting your response.",Administrative,Low,Neutral
"Hello, There is a problem: fan not working in the Room 101. since yesterday. Please look into it.",Electricity,Medium,Neutral
"bulb is fused at Hostel Block D, since 4 days. Ye kya ho raha hai.",Electricity,High,Negative
There is a problem: computer is not turning on in the office. since 4 days. Thanks.,Computer/Hardware,High,Neutral
"To whom it may concern, bijli nahi hai. Location: Room 101. please look into it. Bahut buri service hai.",Electricity,Medium,Negative
"accounts office me certificate not issued, since 4 days. Appreciate quick action.",Administrative,High,Positive
"Dear admin, There is a problem: पानी नहीं आ रहा in the Room 305. kindly resolve. Please look into it.",Water Supply,Medium,Neutral
"To whom it may concern, fee receipt not generated at accounts office, since last week. Please look into it.",Administrative,High,Neutral
"department me professor not clearing doubts, for 2 days. Frustrated with this.",Faculty Issue,High,Negative
"To whom it may concern, bullying in class at hostel corridor, please look into it. Very disappointed.",Harassment,Medium,Negative
"wallet stolen from library at main gate, occasionally. Frustrated with this.",Security/Safety,Low,Negative
Complaint: There is a problem: wrong marks in result in the portal. small problem. This is unacceptable.,Academic Issue,Low,Negative
"There is a problem: food quality is very poor in the canteen. since yesterday. Otherwise things are good, just fix this.",Mess/Food,Medium,Positive
"To whom it may concern, block C me warden not responding, since last week. Frustrated with this.",Hostel Room,High,Negative
"To whom it may concern, There is a problem: ragging by seniors in the hostel corridor. since 4 days. Ye kya ho raha hai.",Harassment,High,Negative
"Dear admin, cannot connect to campus network. Location: hostel room. since yesterday. Very disappointed.",Internet/Wifi,Medium,Negative
"Hello, someone blocked my vehicle at faculty parking, minor issue. Ye kya ho raha hai.",Parking,Low,Negative
"Dear admin, dustbin overflowing. Location: main road. since yesterday. Very disappointed.",Garbage,Medium,Negative
"suggestion for improvement at campus, small problem. Kindly resolve at earliest.",Other,Low,Neutral
"cannot connect to campus network at library, minor issue. This is unacceptable.",Internet/Wifi,Low,Negative
"Hello, warden not responding at block C, kindly resolve. This is unacceptable.",Hostel Room,Medium,Negative
"To whom it may concern, notice board me attendance shortage marked wrongly, few hours. Otherwise things are good, just fix this.",Academic Issue,Medium,Positive
"Hello, There is a problem: bus driver is rude in the campus gate. since 4 days. Otherwise things are good, just fix this.",Transport,High,Positive
"Dear admin, water not coming at Room 201, few hours. Bahut buri service hai.",Water Supply,Medium,Negative
Complaint: ragging by seniors. Location: sports ground. few hours. This is unacceptable.,Harassment,Medium,Negative
"Sir, canteen me verbal abuse from staff, no response yet. Very disappointed.",Harassment,High,Negative
"Hello, dirty water is coming. Location: Girls Hostel. today morning. This is unacceptable.",Water Supply,Medium,Negative
"Hello, admission form not accepted. Location: accounts office. kabhi kabhi hota hai. Please look into it.",Administrative,Low,Neutral
"To whom it may concern, dustbin overflowing at main road, today morning. Frustrated with this.",Garbage,Medium,Negative
"To whom it may concern, harassment in hostel. Location: hostel corridor. please look into it. Please look into it.",Harassment,Medium,Neutral
Complaint: college bus is always late. Location: bus stop. few hours. Frustrated with this.,Transport,Medium,Negative
"Sir, bed sheet not changed. Location: block C. small problem. This is unacceptable.",Hostel Room,Low,Negative
"Hello, wifi not working at computer lab, today morning. This is unacceptable.",Internet/Wifi,Medium,Negative
"Dear admin, academic office me attendance shortage marked wrongly, few hours. This is unacceptable.",Academic Issue,Medium,Negative
"Hello, There is a problem: computer is not turning on in the faculty room. fire. Awaiting your response.",Computer/Hardware,Critical,Neutral
"Hello, There is a problem: admission form not accepted in the registrar office. kindly resolve. This is unacceptable.",Administrative,Medium,Negative
"Hello, results not published. Location: academic office. please look into it. Ye kya ho raha hai.",Academic Issue,Medium,Negative
"Dear admin, wallet stolen from library at main gate, many students affected. This is unacceptable.",Security/Safety,High,Negative
"Dear admin, certificate not issued. Location: admin block. many students affected. This is unacceptable.",Administrative,High,Negative
"Dear admin, There is a problem: system is very slow in the office. please look into it. Otherwise things are good, just fix this.",Computer/Hardware,Medium,Positive
room not cleaned for days. Location: washroom. for 2 days. This is unacceptable.,Cleanliness,High,Negative
"Sir, faculty is rude at class 3B, occasionally. Please look into it.",Faculty Issue,Low,Neutral
"office staff not responding at accounts office, since yesterday. Thanks in advance.",Administrative,Medium,Positive
"Dear admin, There is a problem: water not coming in the Girls Hostel. since last week. This is unacceptable.",Water Supply,High,Negative
wifi not working. Location: classroom. since 3 days. Awaiting your response.,Internet/Wifi,High,Neutral
"Sir, hostel room me router is offline, since 3 days. Thanks in advance.",Internet/Wifi,High,Positive
"Hello, strangers entering hostel. Location: hostel gate. today morning. Please look into it.",Security/Safety,Medium,Neutral
Complaint: corridor is filthy. Location: washroom. few hours. Very disappointed.,Cleanliness,Medium,Negative
"Complaint: attendance shortage marked wrongly at portal, for 2 days. Kindly resolve at earliest.",Academic Issue,High,Neutral
Complaint: There is a problem: misc issue in the campus. since yesterday. Frustrated with this.,Other,Medium,Negative
"Dear admin, There is a problem: cobwebs everywhere in the washroom. for 2 days. Bahut buri service hai.",Cleanliness,High,Negative
"Sir, printer paper jam at office, since yesterday. Awaiting your response.",Computer/Hardware,Medium,Neutral
"Complaint: cold food served at mess hall, since 4 days. Frustrated with this.",Mess/Food,High,Negative
Complaint: waste dumped near hostel. Location: canteen area. small problem. Please look into it.,Garbage,Low,Neutral
"bed sheet not changed at warden office, urgent. Ye kya ho raha hai.",Hostel Room,Critical,Negative
"Sir, canteen area me garbage not collected, still not fixed. Frustrated with this.",Garbage,High,Negative
"bus stop me college bus is always late, medical emergency. Ye kya ho raha hai.",Transport,Critical,Negative
There is a problem: suggestion for improvement in the campus. fire. Please look into it.,Other,Critical,Neutral
"Hello, wrong marks in result at portal, someone is injured. Very disappointed.",Academic Issue,Critical,Negative
teacher not coming to class regularly. Location: department. since yesterday. Very disappointed.,Faculty Issue,Medium,Negative
"Hello, main gate me fire hazard in lab, since 3 days. Thanks.",Security/Safety,High,Neutral
"Sir, admin block me office staff not responding, kindly resolve. Otherwise things are good, just fix this.",Administrative,Medium,Positive
"Dear admin, There is a problem: no power in whole floor in the auditorium. small problem. Frustrated with this.",Electricity,Low,Negative
There is a problem: water tap is leaking in the Hostel Block C. today morning. Kindly resolve at earliest.,Water Supply,Medium,Neutral
bulb is fused. Location: mess hall. many students affected. Awaiting your response.,Electricity,High,Neutral
Complaint: system is very slow. Location: computer lab. still not fixed. Appreciate quick action.,Computer/Hardware,High,Positive
"Sir, bullying in class at canteen, emergency. Ye kya ho raha hai.",Harassment,Critical,Negative
someone blocked my vehicle. Location: faculty parking. occasionally. Very disappointed.,Parking,Low,Negative
"To whom it may concern, lecture is too fast. Location: department. still not fixed. Bahut buri service hai.",Faculty Issue,High,Negative
"Hello, no power in whole floor at Lab 2, since last week. Please look into it.",Electricity,High,Neutral
"Dear admin, cctv not working. Location: library. occasionally. Ye kya ho raha hai.",Security/Safety,Low,Negative
"Sir, exam schedule clash. Location: portal. many students affected. Awaiting your response.",Academic Issue,High,Neutral
Complaint: There is a problem: parking is chaotic in the parking lot. occasionally. Frustrated with this.,Parking,Low,Negative
Complaint: attendance shortage marked wrongly. Location: notice board. since 3 days. Ye kya ho raha hai.,Academic Issue,High,Negative
"Sir, There is a problem: flush not working in the staff toilet. still not fixed. Very disappointed.",Plumbing,High,Negative
"Hello, certificate not issued at registrar office, minor issue. Awaiting your response.",Administrative,Low,Neutral
"Complaint: route 5 me college bus is always late, just a suggestion. Appreciate quick action.",Transport,Low,Positive
"Hello, dirty water is coming. Location: washrooms on 2nd floor. for 2 days. This is unacceptable.",Water Supply,High,Negative
"Hello, campus me misc issue, since yesterday. Very disappointed.",Other,Medium,Negative
"Sir, dining area me mess timing is wrong, many students affected. Frustrated with this.",Mess/Food,High,Negative
"Sir, monitor is blank. Location: admin block. just a suggestion. Please look into it.",Computer/Hardware,Low,Neutral
"Dear admin, sports ground me bullying in class, minor issue. This is unacceptable.",Harassment,Low,Negative
"To whom it may concern, waste dumped near hostel at canteen area, please look into it. Ye kya ho raha hai.",Garbage,Medium,Negative
"Hello, exam schedule clash. Location: academic office. since yesterday. Otherwise things are good, just fix this.",Academic Issue,Medium,Positive
"To whom it may concern, mess timing is wrong at dining area, medical emergency. This is unacceptable.",Mess/Food,Critical,Negative
Complaint: system is very slow. Location: faculty room. no response yet. Kindly resolve at earliest.,Computer/Hardware,High,Neutral
Complaint: There is a problem: wifi disconnects every 5 minutes in the computer lab. medical emergency. Ye kya ho raha hai.,Internet/Wifi,Critical,Negative
"To whom it may concern, no guard at gate at night at library, please look into it. Bahut buri service hai.",Security/Safety,Medium,Negative
"Dear admin, academic office me wrong marks in result, since yesterday. Very disappointed.",Academic Issue,Medium,Negative
"Sir, main gate me no guard at gate at night, since yesterday. Ye kya ho raha hai.",Security/Safety,Medium,Negative
"Hello, harassment in hostel. Location: hostel corridor. minor issue. Bahut buri service hai.",Harassment,Low,Negative
faculty is rude. Location: department. since last week. Frustrated with this.,Faculty Issue,High,Negative
wallet stolen from library. Location: library. small problem. Bahut buri service hai.,Security/Safety,Low,Negative
"Sir, cold food served at mess hall, since 3 days. Bahut buri service hai.",Mess/Food,High,Negative
"washbasin is leaking at ground floor washroom, still not fixed. Very disappointed.",Plumbing,High,Negative
"Hello, verbal abuse from staff. Location: sports ground. few hours. Bahut buri service hai.",Harassment,Medium,Negative
"Sir, auditorium me bulb is fused, kindly resolve. This is unacceptable.",Electricity,Medium,Negative
Complaint: There is a problem: room lock broken in the warden office. occasionally. Very disappointed.,Hostel Room,Low,Negative
water not coming. Location: Girls Hostel. few hours. Thanks in advance.,Water Supply,Medium,Positive
"Hello, There is a problem: system is very slow in the office. emergency. Very disappointed.",Computer/Hardware,Critical,Negative
There is a problem: someone blocked my vehicle in the faculty parking. please look into it. Very disappointed.,Parking,Medium,Negative
"Dear admin, campus gate me college bus is always late, today morning. Very disappointed.",Transport,Medium,Negative
"Hello, mess hall me same menu every day, just a suggestion. Kindly resolve at earliest.",Mess/Food,Low,Neutral
There is a problem: garbage not collected in the hostel back side. since 3 days. Ye kya ho raha hai.,Garbage,High,Negative
"Hello, no proper cleaning. Location: warden office. immediately. Please look into it.",Hostel Room,Critical,Neutral
"Dear admin, current fluctuation is damaging appliances. Location: Hostel Block D. since 3 days. Please look into it.",Electricity,High,Neutral
"To whom it may concern, There is a problem: keyboard keys not working in the computer lab. since yesterday. Frustrated with this.",Computer/Hardware,Medium,Negative
"Complaint: no water supply at Hostel Block B, someone is injured. Ye kya ho raha hai.",Water Supply,Critical,Negative
"Sir, hostel room me internet is very slow, since yesterday. Frustrated with this.",Internet/Wifi,Medium,Negative
"To whom it may concern, There is a problem: wrong marks in result in the notice board. still not fixed. This is unacceptable.",Academic Issue,High,Negative
Complaint: cannot connect to campus network. Location: library. someone is injured. Kindly resolve at earliest.,Internet/Wifi,Critical,Neutral
"Dear admin, misc issue. Location: campus. danger to life. Thanks.",Other,Critical,Neutral
"general complaint at campus, today morning. Please look into it.",Other,Medium,Neutral
"Complaint: verbal abuse from staff at canteen, few hours. Very disappointed.",Harassment,Medium,Negative
"Sir, There is a problem: suggestion for improvement in the college. today morning. Awaiting your response.",Other,Medium,Neutral
Complaint: There is a problem: college bus is always late in the bus stop. since last week. Bahut buri service hai.,Transport,High,Negative
"Dear admin, There is a problem: bullying in class in the sports ground. for 2 days. Frustrated with this.",Harassment,High,Negative
"admin block me certificate not issued, kindly resolve. Thanks in advance.",Administrative,Medium,Positive
"Sir, There is a problem: computer is not turning on in the faculty room. no response yet. Thanks.",Computer/Hardware,High,Neutral
"Dear admin, bike is stolen from parking. Location: library. please look into it. Frustrated with this.",Security/Safety,Medium,Negative
There is a problem: bus driver is rude in the route 5. today morning. Very disappointed.,Transport,Medium,Negative
"Complaint: hostel room me wifi disconnects every 5 minutes, kindly resolve. Bahut buri service hai.",Internet/Wifi,Medium,Negative
There is a problem: same menu every day in the mess hall. many students affected. Ye kya ho raha hai.,Mess/Food,High,Negative
"Complaint: dining area me mess timing is wrong, for 2 days. Awaiting your response.",Mess/Food,High,Neutral
"Hello, There is a problem: cannot connect to campus network in the classroom. no response yet. Very disappointed.",Internet/Wifi,High,Negative
"internet is very slow at hostel room, kabhi kabhi hota hai. This is unacceptable.",Internet/Wifi,Low,Negative
Complaint: waste dumped near hostel. Location: main road. kabhi kabhi hota hai. Kindly resolve at earliest.,Garbage,Low,Neutral
"Hello, dining area me found insect in food, just a suggestion. This is unacceptable.",Mess/Food,Low,Negative
"lecture is too fast at lecture hall, few hours. Ye kya ho raha hai.",Faculty Issue,Medium,Negative
Complaint: There is a problem: professor not clearing doubts in the department. today morning. Bahut buri service hai.,Faculty Issue,Medium,Negative
"Dear admin, notice board me results not published, just a suggestion. Bahut buri service hai.",Academic Issue,Low,Negative
"Dear admin, water not coming. Location: Room 201. small problem. Kindly resolve at earliest.",Water Supply,Low,Neutral
"computer is not turning on at admin block, for 2 days. Kindly resolve at earliest.",Computer/Hardware,High,Neutral
"Complaint: warden not responding at warden office, small problem. Frustrated with this.",Hostel Room,Low,Negative
"To whom it may concern, suggestion for improvement at college, small problem. Kindly resolve at earliest.",Other,Low,Neutral
"Complaint: classroom me wifi not working, kindly resolve. Bahut buri service hai.",Internet/Wifi,Medium,Negative
Complaint: There is a problem: no drinking water in the Boys Hostel. few hours. Bahut buri service hai.,Water Supply,Medium,Negative
Complaint: There is a problem: broken bed in the block C. few hours. This is unacceptable.,Hostel Room,Medium,Negative
"Dear admin, printer paper jam. Location: computer lab. minor issue. Otherwise things are good, just fix this.",Computer/Hardware,Low,Positive
"Sir, misc issue at college, few hours. Very disappointed.",Other,Medium,Negative
bed sheet not changed. Location: block C. no response yet. Thanks in advance.,Hostel Room,High,Positive
"Dear admin, washroom is very dirty. Location: washroom. emergency. Bahut buri service hai.",Cleanliness,Critical,Negative
"To whom it may concern, teacher not coming to class regularly. Location: lecture hall. for 2 days. Ye kya ho raha hai.",Faculty Issue,High,Negative
"Hello, monitor is blank. Location: office. since 3 days. Kindly resolve at earliest.",Computer/Hardware,High,Neutral
"Hello, no water supply at Hostel Block B, since yesterday. This is unacceptable.",Water Supply,Medium,Negative
"Dear admin, washbasin is leaking. Location: ground floor washroom. for 2 days. This is unacceptable.",Plumbing,High,Negative
"To whom it may concern, verbal abuse from staff. Location: canteen. just a suggestion. Thanks.",Harassment,Low,Neutral
Complaint: There is a problem: exam schedule clash in the academic office. since 4 days. Thanks in advance.,Academic Issue,High,Positive
"library me internet is very slow, kindly resolve. Ye kya ho raha hai.",Internet/Wifi,Medium,Negative
Complaint: room lock broken. Location: block C. few hours. This is unacceptable.,Hostel Room,Medium,Negative
"Complaint: admission form not accepted at admin block, many students affected. Please look into it.",Administrative,High,Neutral
"Hello, keyboard keys not working at office, please look into it. Please look into it.",Computer/Hardware,Medium,Neutral
"To whom it may concern, drainage is blocked at hostel bathroom, many students affected. Bahut buri service hai.",Plumbing,High,Negative
"Room 305 me water supply cut off, kindly resolve. Ye kya ho raha hai.",Water Supply,Medium,Negative
"Dear admin, bed sheet not changed at warden office, since 3 days. Bahut buri service hai.",Hostel Room,High,Negative
"Hello, monitor is blank. Location: office. danger to life. Please look into it.",Computer/Hardware,Critical,Neutral
"Complaint: certificate not issued at admin block, occasionally. Awaiting your response.",Administrative,Low,Neutral
"Sir, There is a problem: system is very slow in the office. kabhi kabhi hota hai. Otherwise things are good, just fix this.",Computer/Hardware,Low,Positive
"Dear admin, cannot connect to campus network. Location: library. someone is injured. Bahut buri service hai.",Internet/Wifi,Critical,Negative
"Sir, There is a problem: broken bed in the block C. today morning. This is unacceptable.",Hostel Room,Medium,Negative
"To whom it may concern, admin block me certificate not issued, no response yet. Awaiting your response.",Administrative,High,Neutral
"Sir, room not cleaned for days. Location: washroom. urgent. Thanks.",Cleanliness,Critical,Neutral
"Sir, accounts office me fee receipt not generated, occasionally. Frustrated with this.",Administrative,Low,Negative
"Dear admin, computer lab me keyboard keys not working, please look into it. Awaiting your response.",Computer/Hardware,Medium,Neutral
keyboard keys not working. Location: admin block. just a suggestion. Kindly resolve at earliest.,Computer/Hardware,Low,Neutral
"Dear admin, mess timing is wrong at canteen, since yesterday. Ye kya ho raha hai.",Mess/Food,Medium,Negative
"To whom it may concern, cobwebs everywhere. Location: washroom. few hours. Very disappointed.",Cleanliness,Medium,Negative
"To whom it may concern, academic office me exam schedule clash, few hours. Very disappointed.",Academic Issue,Medium,Negative
faculty is rude. Location: class 3B. small problem. Bahut buri service hai.,Faculty Issue,Low,Negative
"Hello, parking is chaotic at faculty parking, just a suggestion. Please look into it.",Parking,Low,Neutral
"Hello, keyboard keys not working. Location: faculty room. since yesterday. Kindly resolve at earliest.",Computer/Hardware,Medium,Neutral
"Sir, There is a problem: cctv not working in the library. today morning. Frustrated with this.",Security/Safety,Medium,Negative
"Complaint: hostel room 202 me warden not responding, someone is injured. This is unacceptable.",Hostel Room,Critical,Negative
There is a problem: khana ekdum tasteless hai in the mess hall. please look into it. Very disappointed.,Mess/Food,Medium,Negative
"Hello, lecture hall me teacher not coming to class regularly, please look into it. Ye kya ho raha hai.",Faculty Issue,Medium,Negative
"Dear admin, dining area me mess timing is wrong, kindly resolve. Very disappointed.",Mess/Food,Medium,Negative
"Hello, cctv not working. Location: hostel gate. for 2 days. Kindly resolve at earliest.",Security/Safety,High,Neutral
cobwebs everywhere. Location: corridor. since last week. Please look into it.,Cleanliness,High,Neutral
"Hello, There is a problem: cannot connect to campus network in the hostel room. since 3 days. Frustrated with this.",Internet/Wifi,High,Negative
"Dear admin, canteen me mess timing is wrong, since yesterday. This is unacceptable.",Mess/Food,Medium,Negative
"Hello, drainage is blocked. Location: staff toilet. for 2 days. This is unacceptable.",Plumbing,High,Negative
"Dear admin, water supply cut off. Location: Boys Hostel. still not fixed. Kindly resolve at earliest.",Water Supply,High,Neutral
There is a problem: harassment in hostel in the canteen. since 4 days. Very disappointed.,Harassment,High,Negative
Complaint: There is a problem: monitor is blank in the office. still not fixed. Bahut buri service hai.,Computer/Hardware,High,Negative
"Sir, printer paper jam. Location: office. since 3 days. Thanks in advance.",Computer/Hardware,High,Positive
Complaint: parking is chaotic. Location: faculty parking. few hours. Frustrated with this.,Parking,Medium,Negative
"Sir, cannot connect to campus network. Location: computer lab. since 3 days. Frustrated with this.",Internet/Wifi,High,Negative
"To whom it may concern, There is a problem: college bus is always late in the bus stop. still not fixed. This is unacceptable.",Transport,High,Negative
"Sir, There is a problem: keyboard keys not working in the computer lab. since last week. Otherwise things are good, just fix this.",Computer/Hardware,High,Positive
"Sir, There is a problem: harassment in hostel in the sports ground. still not fixed. Kindly resolve at earliest.",Harassment,High,Neutral
"Sir, ground floor me washroom is very dirty, few hours. Kindly resolve at earliest.",Cleanliness,Medium,Neutral
"Dear admin, There is a problem: lecture is too fast in the class 3B. kabhi kabhi hota hai. Ye kya ho raha hai.",Faculty Issue,Low,Negative
"To whom it may concern, hostel corridor me ragging by seniors, please look into it. Bahut buri service hai.",Harassment,Medium,Negative
There is a problem: misc issue in the campus. minor issue. Awaiting your response.,Other,Low,Neutral
"Sir, results not published. Location: notice board. minor issue. Frustrated with this.",Academic Issue,Low,Negative
broken bed. Location: block C. someone is injured. Please look into it.,Hostel Room,Critical,Neutral
"Dear admin, someone blocked my vehicle. Location: faculty parking. since last week. Awaiting your response.",Parking,High,Neutral
"Sir, certificate not issued at registrar office, today morning. Appreciate quick action.",Administrative,Medium,Positive
"Sir, suggestion for improvement. Location: college. today morning. Please look into it.",Other,Medium,Neutral
"To whom it may concern, same menu every day. Location: mess hall. for 2 days. Bahut buri service hai.",Mess/Food,High,Negative
"Sir, There is a problem: faculty is rude in the department. still not fixed. Thanks in advance.",Faculty Issue,High,Positive
"To whom it may concern, faculty is rude at department, emergency. Thanks in advance.",Faculty Issue,Critical,Positive
Complaint: There is a problem: mess timing is wrong in the dining area. occasionally. Please look into it.,Mess/Food,Low,Neutral
"corridor is filthy at ground floor, today morning. Kindly resolve at earliest.",Cleanliness,Medium,Neutral
"To whom it may concern, There is a problem: washroom is very dirty in the washroom. please look into it. This is unacceptable.",Cleanliness,Medium,Negative
"To whom it may concern, dining area me khana ekdum tasteless hai, please look into it. Please look into it.",Mess/Food,Medium,Neutral
"Dear admin, water not coming. Location: Room 201. occasionally. Kindly resolve at earliest.",Water Supply,Low,Neutral
garbage not collected. Location: canteen area. kindly resolve. Bahut buri service hai.,Garbage,Medium,Negative
"ground floor washroom me drainage is blocked, just a suggestion. Very disappointed.",Plumbing,Low,Negative
There is a problem: no guard at gate at night in the parking lot. danger to life. Ye kya ho raha hai.,Security/Safety,Critical,Negative
"canteen me verbal abuse from staff, since yesterday. Very disappointed.",Harassment,Medium,Negative
"Hello, There is a problem: results not published in the notice board. immediately. Very disappointed.",Academic Issue,Critical,Negative
"Hello, There is a problem: cobwebs everywhere in the ground floor. just a suggestion. Bahut buri service hai.",Cleanliness,Low,Negative
"no proper cleaning at hostel room 202, kindly resolve. This is unacceptable.",Hostel Room,Medium,Negative
"Sir, room lock broken at block C, few hours. Bahut buri service hai.",Hostel Room,Medium,Negative
"Dear admin, There is a problem: no parking space in the faculty parking. few hours. This is unacceptable.",Parking,Medium,Negative
"Hello, bijli nahi hai at mess hall, occasionally. Please look into it.",Electricity,Low,Neutral
There is a problem: verbal abuse from staff in the hostel corridor. since 4 days. Ye kya ho raha hai.,Harassment,High,Negative
"attendance shortage marked wrongly at portal, few hours. Kindly resolve at earliest.",Academic Issue,Medium,Neutral
strangers entering hostel. Location: parking lot. today morning. Thanks.,Security/Safety,Medium,Neutral
"Dear admin, general complaint. Location: college. please look into it. This is unacceptable.",Other,Medium,Negative
Complaint: general complaint. Location: campus. for 2 days. Kindly resolve at earliest.,Other,High,Neutral
"Hello, attendance shortage marked wrongly at academic office, minor issue. Very disappointed.",Academic Issue,Low,Negative
"To whom it may concern, college me misc issue, kindly resolve. Thanks in advance.",Other,Medium,Positive
"Sir, roommate issue. Location: warden office. few hours. Ye kya ho raha hai.",Hostel Room,Medium,Negative
"Complaint: no power in whole floor at Library, since yesterday. Thanks.",Electricity,Medium,Neutral
"Sir, suggestion for improvement at college, just a suggestion. Kindly resolve at earliest.",Other,Low,Neutral
"Hello, hostel back side me garbage not collected, since yesterday. This is unacceptable.",Garbage,Medium,Negative
"Hello, There is a problem: printer paper jam in the office. urgent. Kindly resolve at earliest.",Computer/Hardware,Critical,Neutral
"Hello, sewage smell at staff toilet, no response yet. Very disappointed.",Plumbing,High,Negative
"Dear admin, There is a problem: wrong marks in result in the notice board. please look into it. Ye kya ho raha hai.",Academic Issue,Medium,Negative
"Complaint: washroom is very dirty at ground floor, since yesterday. Kindly resolve at earliest.",Cleanliness,Medium,Neutral
"To whom it may concern, faculty is rude at department, small problem. Frustrated with this.",Faculty Issue,Low,Negative
"ground floor me corridor is filthy, many students affected. Very disappointed.",Cleanliness,High,Negative
"Hello, college me suggestion for improvement, few hours. Very disappointed.",Other,Medium,Negative
"shower head broken at staff toilet, kabhi kabhi hota hai. Awaiting your response.",Plumbing,Low,Neutral
Complaint: There is a problem: wifi not working in the hostel room. since 3 days. Ye kya ho raha hai.,Internet/Wifi,High,Negative
There is a problem: room lock broken in the hostel room 202. since 3 days. Frustrated with this.,Hostel Room,High,Negative
bike is stolen from parking. Location: main gate. kindly resolve. Very disappointed.,Security/Safety,Medium,Negative
"Sir, There is a problem: harassment in hostel in the sports ground. immediately. Very disappointed.",Harassment,Critical,Negative
"Sir, There is a problem: wrong marks in result in the academic office. danger to life. Thanks.",Academic Issue,Critical,Neutral
certificate not issued. Location: registrar office. for 2 days. This is unacceptable.,Administrative,High,Negative
"Complaint: dustbin overflowing at canteen area, since 4 days. Thanks.",Garbage,High,Neutral
"Complaint: suggestion for improvement at college, for 2 days. Kindly resolve at earliest.",Other,High,Neutral
"Sir, library me fire hazard in lab, urgent. Otherwise things are good, just fix this.",Security/Safety,Critical,Positive
"To whom it may concern, mess timing is wrong at canteen, danger to life. This is unacceptable.",Mess/Food,Critical,Negative
"Sir, fee receipt not generated at admin block, kindly resolve. Bahut buri service hai.",Administrative,Medium,Negative
There is a problem: sewage smell in the staff toilet. just a suggestion. Kindly resolve at earliest.,Plumbing,Low,Neutral
"Hello, bus driver is rude. Location: bus stop. immediately. This is unacceptable.",Transport,Critical,Negative
"Sir, dining area me khana ekdum tasteless hai, no response yet. Frustrated with this.",Mess/Food,High,Negative
parking is chaotic. Location: faculty parking. today morning. Please look into it.,Parking,Medium,Neutral
"Complaint: campus me general complaint, few hours. Thanks.",Other,Medium,Neutral
"Sir, accounts office me admission form not accepted, small problem. Bahut buri service hai.",Administrative,Low,Negative
"There is a problem: room not cleaned for days in the washroom. minor issue. Otherwise things are good, just fix this.",Cleanliness,Low,Positive
"To whom it may concern, khana ekdum tasteless hai. Location: mess hall. just a suggestion. Awaiting your response.",Mess/Food,Low,Neutral
There is a problem: पानी नहीं आ रहा in the Hostel Block B. many students affected. Appreciate quick action.,Water Supply,High,Positive
"Hello, There is a problem: teacher not coming to class regularly in the class 3B. occasionally. Ye kya ho raha hai.",Faculty Issue,Low,Negative
"To whom it may concern, computer lab me wifi disconnects every 5 minutes, few hours. Thanks.",Internet/Wifi,Medium,Neutral
"Dear admin, portal me wrong marks in result, today morning. Kindly resolve at earliest.",Academic Issue,Medium,Neutral
"Sir, office staff not responding at accounts office, please look into it. Thanks.",Administrative,Medium,Neutral
"Hostel Block D me fan not working, medical emergency. This is unacceptable.",Electricity,Critical,Negative
"Sir, There is a problem: ragging by seniors in the hostel corridor. since last week. Ye kya ho raha hai.",Harassment,High,Negative
"To whom it may concern, water not coming. Location: Hostel Block C. minor issue. Frustrated with this.",Water Supply,Low,Negative
attendance shortage marked wrongly. Location: academic office. few hours. Thanks.,Academic Issue,Medium,Neutral
"computer is not turning on at admin block, small problem. Awaiting your response.",Computer/Hardware,Low,Neutral
"Complaint: khana ekdum tasteless hai at dining area, occasionally. Bahut buri service hai.",Mess/Food,Low,Negative
"To whom it may concern, no power in whole floor at Hostel Block D, since 3 days. Otherwise things are good, just fix this.",Electricity,High,Positive
"Hello, found insect in food at dining area, kabhi kabhi hota hai. Bahut buri service hai.",Mess/Food,Low,Negative
Complaint: There is a problem: cobwebs everywhere in the corridor. since last week. Kindly resolve at earliest.,Cleanliness,High,Neutral
"Sir, There is a problem: dirty water is coming in the Room 201. no response yet. Frustrated with this.",Water Supply,High,Negative
"Dear admin, Hostel Block D me bijli nahi hai, since yesterday. Frustrated with this.",Electricity,Medium,Negative
